,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
156,Narsaq,29,GL,1568417352,56,60.91,-46.05,42.8,2.24
157,Martapura,79,ID,1568417830,77,-3.41,114.85,76.42,8.23
158,Nisia Floresta,0,BR,1568417831,83,-6.09,-35.21,75.2,6.93
159,Kavieng,87,PG,1568417274,80,-2.57,150.8,82.18,9.04
160,Mareeba,0,AU,1568417832,53,-16.99,145.42,80.01,10.29
161,Myitkyina,100,MM,1568417610,99,25.38,97.4,71.92,1.72
162,Soe,1,EE,1568417833,87,57.91,26.05,48.99,11.41
163,Qaanaaq,15,GL,1568417275,57,77.48,-69.36,18.82,3.76
164,Miles City,1,US,1568417834,31,46.41,-105.84,78.8,10.29
165,Sosnovo-Ozerskoye,100,RU,1568417567,82,52.53,111.54,40.96,9.98
166,Westport,40,US,1568417375,59,41.14,-73.36,66.0,9.17
167,Caceres,55,CO,1568417835,89,5.53,-74.53,68.86,3.18
168,Miri,91,NG,1568417836,94,10.31,9.75,71.2,5.64
169,Punta Alta,0,AR,1568417564,64,-27.46,-55.82,69.8,6.93
170,Leningradskiy,65,RU,1568417336,71,69.38,178.42,38.08,3.09
171,Riosucio,40,CO,1568417837,57,5.42,-75.7,80.6,4.7
172,Alyangula,83,AU,1568417837,54,-13.85,136.42,80.6,12.75
173,Bilibino,0,RU,1568417838,23,68.06,166.44,42.58,5.03
174,Nago,5,IT,1568417658,62,45.88,10.89,71.01,0.63
175,East London,69,ZA,1568417838,66,-33.02,27.91,51.4,11.16
176,Dunedin,14,NZ,1568417288,77,-45.87,170.5,46.72,20.2
177,Pamplona,0,ES,1568417823,59,42.82,-1.64,64.99,2.24
178,Foumban,98,CM,1568417840,97,5.73,10.9,62.74,1.63
179,Riyadh,0,SA,1568417281,16,24.63,46.72,87.8,4.7
180,Mamlyutka,0,KZ,1568417841,93,54.94,68.54,50.0,6.71
181,Bouar,100,CF,1568417841,99,5.94,15.59,66.16,3.0
182,Tuatapere,0,NZ,1568417842,71,-46.13,167.69,50.0,3.0
183,Erenhot,0,CN,1568417842,29,43.65,111.97,59.32,9.06
184,Camacha,40,PT,1568417309,83,33.08,-16.33,75.2,8.05
185,Saint-Francois,0,FR,1568417323,82,46.42,3.91,60.8,3.42
186,Hasaki,75,JP,1568417349,88,35.73,140.83,72.0,9.17
187,Grand Gaube,75,MU,1568417399,93,-20.01,57.66,66.99,2.24
188,Kampong Thum,99,KH,1568417844,86,12.71,104.89,78.58,2.17
